(all) fucked up	(total) im Arsch
accrues	ensteht
accruing	enstehend
accumulated	angehäuft
accumulated error	additiver Fehler
accumulated income	Gewinnvortrag
accumulated loss	Bilanzverlust
accumulated value	Endwert
accumulates	häuft an
accumulating	anhäufend
accumulation	Anhäufung
accumulation bin	Sammelbehälter
accumulation factor	Aufzinsungsfaktor
accumulation field	Akkumulierungsfeld
accumulation of annuity	Rentenendwert
accumulation of capital	Kapitalbildung
accumulation of inventories	Lagerauffüllung
accumulation of mud	Verschlammung
accumulation of risk	Risikohäufung
accumulation of value	Wertbildung
accumulation period	Zinseszinsperiode
accumulation speed	Addiergeschwindigkeit
accumulations	Anfhäufungen
accumulative	wachsend
accumulatively	wachsende
accumulativeness	Ansammlung
accumulator	Akkumulator
accumulator computer	Akkumulatorrechner
accumulator grid	Bleigitter für Akkumulatoren
accumulator traction	Batteriefahrbetrieb
accuracy	Exaktheit
accurate	fehlerfrei
accurately	genau
accurateness	Sorgfalt
accursed	verflucht
accursedly	verfluchte
accursedness	Verflüchtigung
accurst	verfluchten
accusal	Anklage
accusation	Anklage
accusations	Anklagen
accusatival	akkusativisch
accusative	Akkusativ
accusativeness	Anklage
accusatory	anklagend
accused	Angeklagter
accused of	angeklagt
accuser	Ankläger
accuses	beschuldigt
accusing	anschuldigend
accusing of	anklagend
accusingly	anschuldigende
accustomed	gewohnt
accustomed to	gewohnt an
accustoming	gewöhnend
accustoms	gewöhnt
ace	As
acerbate	verbittern
acerbated	verbitterte
acerbates	verbittert
acerbating	verbitternd
acerbity	Herbheit
aces	Asse
acetate	Acetat
acetic	essigsauer
acetified	wurde sauer
acetifies	wird sauer
acetify	sauer werden
acetifying	sauer werdend
acetone	Aceton
acetylene	Acetylen
ache	Schmerzen
ached	geschmerzt
aches	schmerzt
achier	schmerzhafter
achiest	am schmerzhaftesten
achievable	ausführbar
achieved	ausgeführt
achievement	Ausführung
achievement motivation	Leistungsmotivation
achievement of objectives	Zielerreichung
achievement oriented	leistungsorientiert
achievement potential	Leistungspotential
achievement principle	Leistungsprinzip
achievement test	Leistungstest
achievements	Ausführungen
achieves	erreicht
achieving	ausführend
Achilles' heel	Achillesferse
achiness	Schmerz
achinesses	Schmerzen
aching	schmerzend
achromatic	achromatisch
achromatically	achromatisches
achy	schmerzhaft
acid	sauer
acid drops	saure Drops
acid proof	säurebeständig
acid resistant	säurebeständig
acid soluble	säurelöslich
acid test	Feuerprobe
acidic	säurehaltig
acidified	säuerte
acidifier	Säurebildner
acidifies	säuert
acidify	säuern
acidifying	säuernd
acidities	Säuregehalte
acidities of wine	Weinsäuren
acidity	Säuregehalt
acidity of wine	Weinsäure
acidly	sauer
acidness	Bissigkeit
acidosis	Übersäuerung
acids	Säuren
acidulous	säuerlich
acidulous mineral water	Sauerbrunnen
acknowledge	anerkennen
acknowledgeable	anerkenntlich
acknowledged	anerkannt
acknowledgement	Anerkennung
acknowledgement key	Bestätigungs-Taste
acknowledgement message	Bestätigungsmeldung
acknowledgement of debt	Schuldanerkenntnis
acknowledgement of order	Auftragsbestätigung
acknowledgement of receipt	Eingangsanzeige
acknowledgement request	Quittungsanforderung
acknowledgements of receipt	Empfangsbestätigungen
acknowledges	anerkennt
acknowledging	anerkennend
acknowledgment	Anerkennung
acme	Gipfel
acne	Akne
acolyte	Messdiener
acommodation	Wohngelegenheit
aconite	Eisenhut
acorn	Eichel
acorns	Eicheln
acoustic	Akustik
acoustic coupler	Akustikkoppler
acoustic delay	akustische Verzögerung
acoustic delay line	akustische Verzögerungsstrecke
acoustic memory	akustischer Speicher
acoustic pressure	Schalldruck
acoustic variable control	akustische Steuerung
acoustical	akustisch
acoustical absorption	Schallabsorption
acoustical shadow	Schallschatten
acoustically	akustische
acoustics	Akustik
acousto-optical	akustooptisch (Meldegeräte)
acoustoelectric device	elektroakustisches Gerät
acquaintance	Bekanntschaft
acquaintances	Bekanntschaften
acquaintanceship	Bekanntschaft
acquainted	bekannt
acquainted (with)	bekannt (mit)
acquainting	bekannt machend
acquaints	macht Bekannt
acquiesced	duldete
acquiescence	Ergebung
acquiescent	ergeben
acquiescently	ergebene
acquiesces	duldet
acquiescing	duldend
acquirable	erreichbar
acquire by purchase	käuflich erwerben
acquire gratuitously	unentgeltlich erwerben
acquire in good faith	gutgläubig erwerben
acquired	anerzogen
acquirement	Erlangung
acquiring	erwerbend
acquisition	Anschaffung
acquisition agreement	Übernahmevertrag
acquisition block	Erfassungsblock
acquisition check	Erfassungsnachweis
acquisition commission	Abschlussprovision
acquisition cost	Abschlusskosten
acquisition criteria	Übernahmekriterien
acquisition data	Bezugsdaten
acquisition date	Zugangsdatum
acquisition effort	Erfassungsaufwand
acquisition expense	Erfassungskosten
acquisition fee	Abschlussgebühr
acquisition field	Erfassungsfeld
acquisition form	Erfassungsform
acquisition format	Erfassungsformat
acquisition list	Erfassungsliste
acquisition management	Erfassungsabwicklung
acquisition marker	Zugangskennzeichen
acquisition of information	Informationsgewinnung
acquisition of ownership	Eigentumserwerb
acquisition of stock	Beteiligungserwerb
acquisition option	Erfassungsmöglichkeit
acquisition period	Bezugsperiode
acquisition posting	Zugangsbuchung
acquisition price	Einstandspreis
acquisition process	Erfassungsvorgang
acquisition program	Erfassungsprogramm
acquisition screen	Erfassungsbild
acquisition strategy	Übernahmestrategie
acquisition task	Erfassungsaufgabe
acquisition technique	Erfassungstechnik
acquisition type	Bezugsart
acquisition value	Anschaffungswert
acquisitions	Errungenschaften
acquisitive	erwerbssüchtig
acquisitive prescription	Ersitzung
acquisitively	erwerbssüchtige
acquisitiveness	Erwerbssinn
acquisitivenesses	Erwerbssinne
acquit	freisprechen
acquittal	Freispruch
acquittance	Erfüllung
acquittances	Tilgung
acquitted	freigesprochen
acquitting	freisprechend
acre	Acker
acreage	Anbaufläche
acreage restriction	Anbaubeschränkung
acrid	gallig
acridity	Schärfe
acridly	scharf
acridness	Herbheit
acridnesses	Herbheiten
acrimonies	Schärfen
acrimonious	erbittert
acrimoniously	bitter
acrimony	Bitterkeit
acrobat	Akrobat
acrobatic	akrobatisch
acrobatically	akrobatische
acrobatics	Akrobatik
acrobats	Akrobaten
acronym	Abkürzungi
acrophobia	Höhenangst
acropolis	Akropolis
across	durch
across from	gegenüber
across the board	allgemein
across the counter	regulär
acrylic	Acryl
act	Akt
act as interpreter	dolmetschen
act in the law	Rechtsgeschäft
act liability insurance	gesetzliche Haftpflichtversicherung
act of bankruptcy	Konkursgrund
act of God	höhere Gewalt
act of honor	Ehreneintritt
act of justice	Akt der Gerechtigkeit
act of law	rechtsgestaltender Gesetzesakt
act of protest	Wechselprotest
act of revenge	Racheakt
act of sabotage	Sabotageakt
act of state	Staatsakt
act of terrorism	Terrorakt
act of violence	Gewaltakt
act of volition	Willensakt
act of war	Kriegshandlung
actability	Durchführbarkeit
actable	durchführbar
acted	agierte
acted contrary to	zuwidergehandelt
acted on	eingewirkt
acting	agierend
acting on	einwirkend
acting partner	geschäftsführender Gesellschafter
action	Aktion
action alternative	Handlungsalternative
action chart	Funktionsdiagramm
action designator	Funktionsbezeichnung
action flexibility	Anpassungsfähigkeit
action for damages	Schadenersatzklage
action for libel	Ehrenbeleidigungsklage
action for slander	Ehrenbeleidigungsklage
action force	Einsatzkräfte
action parameter	Aktionsparameter
action period	Belegzeit
action planning	Maßnahmeplanung
action program	Aktionsprogramm
action research	anwendungsbezogene Forschung
actionable	einklagbar
actions	Aktionen
activatable	aktivierungsfähig
activate a file	Daten aufrufen
activate button	Startknopf
activate facility	Anschalteinrichtung
activated	aktivierte
activates	aktiviert
activating	aktivierend
activating price	Auslösungspreis
activation	Aktivierung
activation marker	Aktivierungskennzeichen
activation number	Aktivierungsnummer
activation research	Kaufentschlussanalyse
activation switch	Aktivierungsschalter
activation voucher	Aktivierungsbeleg
active	aktiv
active agent	Wirkstoff
active bonds	verzinsliche Schuldverschreibungen
active buyers	lebhafte Käufer
active capital	arbeitendes Kapital
active circuit	aktive Schaltung
active computer	arbeitender Rechner
active debt	ausstehende Forderung
active drive	aktives Laufwerk
active element	aktives Element
active fault	aktiver Fehler
active file	aktive Datei
active filter	aktiver Filter
active folder	aktiver Ordner
active graphics	Graphikverarbeitung mit graphischer Ein- und Ausgabe
active inventory	Grundbestand
active life table	Aktivitätsordnung
active light	Kontrollampe
active line	aktive Leitung
active market	lebhafte Umsätze
active page	aktive Seite
active paper	zinstragendes Papier
active power	Wirkleistung
active program	aktuelles Programm
active repair time	Instandsetzungsdauer
active state	aktiver Zustand
active station	arbeitende Datenstation
active storage	aktiver Speicher
active trade balance	aktive Handelsbilanz
active tradet	lebhaft gehandelt
active trading	lebhafter Handel
active transit trade	aktiver Transithandel
actively	aktiv
activeness	Handlung
activism	Aktivismus
activisms	Aktivismus
activist	Aktivist
activities	Aktivitäten
activity	Aktivität
activity account	Aufwandskonto
activity accounting	Abteilungserfolgsrechnung
activity analysis	Aktivitätsanalyse
activity chain	Aktivitätskette
activity charge	Kontoumsatzgebühr
activity control	Aktivitätensteuerung
activity file	Kurzzeitdatei
activity head	Stellenleiter
activity level	Beschäftigungsgrad
activity log	Änderungsprotokoll
activity network	Netzwerk mit Entscheidungsereignissen
activity point	Tätigkeitsknoten
activity rate	Bewegungshäufigkeit  einer Datei
activity ratio	Bewegungshäufigkeit
activity ray	Aktivitässtrahl
activity request packet	Aktivitätensteuerteil
activity sampling	Multimomentverfahren
activity schedule	Tätigkeitsablaufplan
activity variance	Beschäftigungsabweichung
actor	Akteur
actors	Schauspieler
actress	Darstellerin
acts	agiert
acts of revenge	Racheakte
acts of state	Staatsakte
acts of violence	Gewaltakte
acts of volition	Willensakte
actual	effektiv
actual address	absolute Adresse
actual amount	Istbestand
actual attainment	Istleistung
actual authority	Vertretungsmacht
actual balance	Istsaldo
actual capacity	Istkapazität
actual cash value	angemessener Marktpreis
actual cata	Istdaten
actual code	Maschinencode
actual cost	Istkosten
actual cost system	Istkostenrechnung
actual count	aktueller Zählerstand
actual deaths	eingetretene Todesfälle
actual decimal point	Druckdezimalpunkt
actual delivery time	effektive Lieferzeit
actual earnings	Effektivlohn
actual key	aktueller Adressschlüssel
actual keyboard failure	funktionsunfähige Tastatur
actual life	tatsächliche Nutzungsdauer
actual loss	Vermögenseinbuße
actual manhours	Iststunden
actual outlay	Istausgaben
actual output	Istleistung
actual possession	unmittelbarer Besitz
actual premium	Istprämie
actual quantity	Istmenge
actual receipts	Isteinnahmen
actual result	Istbestand
actual securities	effektive Stücke
actual size	Istmaß
actual stock	Istbestand
actual stowage	Stauung
actual tax load	effektive Steuerbelastung
actual time	Istzeit
actual total loss	wirklicher Totalverlust
actual truth	empirische Wahrheit
actual value	Direktwert
actual value method	Kapitalkonsolidierung
actualities	Tatsachen
actuality	Aktualität
actualization	Verwirklichung
actualized	verwirklichte
actualizes	verwirklicht
actualizing	verwirklichend
actually	eigentlich
actuarial	versicherungsmathematisch
actuarial basis	versicherungsmathematische Grundlage
actuarial calculations	versicherungsmathematische Berechnungen
actuarial loan	Versicherungsdarlehen
actuarial projections	Sterblichkeitsberechnungen
actuarial return	interner Zinsfuß
actuarial table	versicherungsstatistische Tabelle
actuarial theory	Versicherungsmathematik
actuarial valuation	versicherungsmathematische Kostenermittlung
actuarially	versicherungsstatistisch
actuary	Versicherungsstatistiker
actuated	in Gang gebracht
actuates	treibt an
actuating	antreibend
actuation	Antrieb
actuation signal	Einschaltbefehl
actuator	Auslöser
acuities	Sehschärfen
acuity	Sehschärfe
acumen	Scharfsinn
acupuncture	Akupunktur
acupunctures	Akupunkturen
acute	intensiv
acutely	akute
acuteness	Feinheit
acutenesses	Feinheiten
acyclic	aperiodisch
ad	Inserat
ad agent	Anzeigenagentur
ad budget	Werbebudget
ad director	Werbeleiter
ad industry	Werbeindustrie
ad insert	Anzeigenbeilage
ad man	Werbeagent
ad spending	Werbeaufwand
ad valorem duty	Wertzoll
ad writer	Werbetexter
adage	Sprichwort
adagio	langsam
adagios	Adagio
adamant	unerbittlich
adamantine	diamanthart
adamantly	unerbittlich
adapt oneself	sich anpassen
adaptability	Anpassbarkeit
adaptable	anpassungsfähig
adaptation	Anpassung
adaptational	anpassend
adaptationally	anpassende
adaptations	Anpassungen
adapted	angeglichen
adapter	Adapter
adapter base	Anschlussrahmen
adapter board	Anschlussbaugruppe
adapter memory	Speicheradapter
adapter plate	Aufspannplatte
adapter plug	Zwischenstecker
adapters	Adapter
adapting	angleichend
adaption	Adaptierung
adaption charge	Anpassungsgebühr
adaptive	anpassungsfähig
adaptive control	anpassungsfähige Regelung oder Steuerung
adaptive difficulties	Anpassungsschwierigkeiten
adaptively	anpassungsfähige
adaptiveness	Anpassungsfähigkeit
adaptivenesses	Anpassungsfähigkeiten
adaptor	Anpassungsgerät
adapts	passt an
add carry	Additionsübertrag
add instruction	Additionsbefehl
add mode	Addiermodus
add on product	Ergänzungsprodukt
add on program	Zusatzprogramm
add on sale	Anschlussauftrag
add on tax	Zusatzsteuer
add unaccrued interest	aufzinsen
add-on	Erweiterung
add-on kit	Nachrüstbausatz
add-on memory	Erweiterungsspeicher
added	addierte
added value	Wertschöpfung
added value tax	Mehrwertsteuer
addend	Additionswert
addenda	Nachträge
addends	Zusatz
addendum	Anhang
adder	Addierer
addict	sich hingeben
addicted	ergeben
addicting	widmend
addiction	Hang
addiction (to)	Abhängigkeit  (von)
addictive	suchterzeugend
addictive drug	Suchtmittel
addictively	süchtig machende
addictiveness	Hang
addicts	Süchtigen
adding	addier
adding circuit	Addierschaltung
adding machine	Addiermaschine
addition	Addition
addition to capacity	Kapazitätserweiterung
addition to stocks	Lagerzugänge
addition to the family	Familienzuwachs
additional	nachträglich
additional address	Zusatzadresse
additional agreement	Zusatzvereinbarung
additional amount	Zusatzbetrag
additional application	weitere Anwendung
additional area	Hilfsbereich
additional balance	Nachtragsbilanz
additional bit	Zusatzbit
additional capital allowance	Sonderabschreibung
additional cargo	Beiladung
additional carriage	Frachtzuschlag
additional character	Sonderzeichen
additional charge	Nachbelastung
additional charge order	Nachbelastungsauftrag
additional claim	Nebenanspruch
additional clause	Zusatzklausel
additional cost	Mehraufwand
additional costs	Mehrkosten
additional cover	Nachschusszahlung
additional delivery	Nachlieferung
